Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
1997-01-31 03:27:46 IST,39.50,76.90,80,4.2,"422km SSE of Bishkek, Kyrgyzstan"
1997-01-31 08:26:53 IST,29.50,68,33,3.8,"543km WNW of Bikaner, Rajasthan, India"
1997-01-31 22:39:15 IST,28,85.20,10,4.4,"33km NNW of Kathmandu, Nepal"
1997-02-01 01:32:16 IST,27.94,85.10,22,5.2,"33km NW of Kathmandu, Nepal"
1997-02-01 02:25:53 IST,27.90,85.10,10,3.9,"30km NW of Kathmandu, Nepal"
1997-02-01 07:11:25 IST,17.20,73.70,0,2,"79km NW of Kolhapur, Maharashtra, India"
1997-02-01 10:42:59 IST,34.50,78.70,33,3.5,"110km ENE of Leh, Laddakh, India"
1997-02-02 20:00:05 IST,25.30,96.50,0,3.8,"207km ENE of Ukhrul, Manipur, India"
1997-02-03 06:13:05 IST,27.97,85,18,3.9,"42km NW of Kathmandu, Nepal"
1997-02-03 16:08:13 IST,27.75,85,29,3.8,"31km W of Kathmandu, Nepal"
1997-02-04 12:05:15 IST,39.60,77.9,33,3.7,"458km SE of Bishkek, Kyrgyzstan"
1997-02-05 18:00:56 IST,35.74,79.92,33,3,"277km NE of Leh, Laddakh, India"
1997-02-06 08:30:09 IST,38,74.46,163,4.7,"358km ENE of Fayzabad, Afghanistan"
1997-02-08 01:01:17 IST,36.20,69.80,158,4.7,"120km SSW of Fayzabad, Afghanistan"
1997-02-08 04:05:25 IST,35.90,70.77,110,4.4,"134km S of Fayzabad, Afghanistan"
1997-02-09 16:58:14 IST,35.68,95.81,10,4.7,"839km N of Pangin, Arunachal Pradesh, India"
1997-02-09 18:16:04 IST,35.63,95.90,10,3.4,"834km N of Pangin, Arunachal Pradesh, India"
1997-02-11 07:28:37 IST,21.30,95.26,119,4,"98km SW of Burma, Myanmar"
1997-02-12 01:51:00 IST,39.50,76.90,33,4.5,"422km SSE of Bishkek, Kyrgyzstan"
1997-02-13 17:10:37 IST,36.40,70.80,227,3,"81km SSE of Fayzabad, Afghanistan"
1997-02-15 10:56:09 IST,39.60,76.90,33,4.8,"412km SSE of Bishkek, Kyrgyzstan"
1997-02-15 19:51:09 IST,23.86,94.40,102,4.3,"95km SE of Moirang, Manipur, India"
1997-02-18 19:01:09 IST,36.30,70.65,228,4.3,"89km S of Fayzabad, Afghanistan"
1997-02-19 02:35:10 IST,39.59,73.71,33,3.2,"372km S of Bishkek, Kyrgyzstan"
1997-02-19 02:43:47 IST,22.84,94.92,33,4.7,"148km NW of Burma, Myanmar"
1997-02-19 03:13:35 IST,30.66,70.25,33,4.3,"417km NW of Bikaner, Rajasthan, India"
1997-02-21 15:07:39 IST,18,76.60,0,3.2,"174km WSW of Nizamabad, Telangana, India"
1997-02-21 19:59:15 IST,39.49,77.35,59,4.3,"442km SSE of Bishkek, Kyrgyzstan"
1997-02-22 11:08:04 IST,36.40,71,218,3.2,"87km SSE of Fayzabad, Afghanistan"
1997-02-22 15:46:37 IST,39.16,71.60,90,4.5,"246km NNE of Fayzabad, Afghanistan"
1997-02-23 00:12:40 IST,37.80,72.99,200,3.4,"229km ENE of Fayzabad, Afghanistan"
1997-02-23 17:23:50 IST,39.80,76.80,33,3.8,"389km SSE of Bishkek, Kyrgyzstan"
1997-02-23 22:39:05 IST,36,70.80,126,4.3,"124km S of Fayzabad, Afghanistan"
1997-02-25 21:20:02 IST,38.40,71.30,33,3.7,"158km NNE of Fayzabad, Afghanistan"
1997-02-25 22:28:05 IST,36.50,70.60,228,4.5,"66km S of Fayzabad, Afghanistan"
1997-02-26 01:10:30 IST,39.60,76.50,33,3.7,"398km SSE of Bishkek, Kyrgyzstan"
1997-02-26 13:34:47 IST,35.42,77.28,33,4.2,"134km N of Alchi(Leh),Jammu & Kashmir,India"
1997-02-26 20:39:10 IST,39.50,76.97,33,4.4,"425km SSE of Bishkek, Kyrgyzstan"
1997-02-28 02:38:02 IST,29.97,68.20,33,7.3,"518km S of Kabul , Afghanistan"
1997-02-28 02:47:25 IST,29.76,68.32,33,5.1,"522km WNW of Bikaner, Rajasthan, India"
1997-02-28 04:11:58 IST,29.52,68.30,33,4.7,"516km WNW of Bikaner, Rajasthan, India"
1997-02-28 05:05:12 IST,30,68.5,33,3.5,"510km S of Kabul , Afghanistan"
1997-02-28 05:09:09 IST,30.5,67.98,33,4.3,"465km SSW of Kabul , Afghanistan"
1997-02-28 06:03:50 IST,29.90,68.13,33,4,"527km S of Kabul , Afghanistan"
1997-02-28 06:28:28 IST,29.60,68.37,33,4,"512km WNW of Bikaner, Rajasthan, India"
1997-02-28 06:34:10 IST,29.68,68.56,33,4.5,"498km WNW of Bikaner, Rajasthan, India"
1997-02-28 06:56:22 IST,29.93,68.20,33,3.8,"523km S of Kabul , Afghanistan"
1997-02-28 07:16:26 IST,29.63,68.20,33,4.7,"529km WNW of Bikaner, Rajasthan, India"
1997-02-28 07:41:13 IST,29.50,68.30,33,4.4,"515km WNW of Bikaner, Rajasthan, India"
1997-02-28 07:52:04 IST,29.80,67.80,33,4.1,"545km SSW of Kabul , Afghanistan"
1997-02-28 08:13:13 IST,29.46,68.50,33,3.9,"495km WNW of Bikaner, Rajasthan, India"
1997-02-28 08:47:35 IST,29.50,68.50,33,4.7,"496km WNW of Bikaner, Rajasthan, India"
1997-02-28 11:04:42 IST,29.50,68.50,33,4.3,"496km WNW of Bikaner, Rajasthan, India"
1997-02-28 11:55:47 IST,29.50,68.20,33,4.5,"524km WNW of Bikaner, Rajasthan, India"
1997-02-28 12:14:53 IST,29.70,68,33,3.8,"549km WNW of Bikaner, Rajasthan, India"
1997-02-28 13:22:10 IST,29.70,68,33,4.4,"549km WNW of Bikaner, Rajasthan, India"
1997-02-28 15:54:41 IST,29.90,67.80,33,3.8,"534km SSW of Kabul , Afghanistan"
1997-02-28 16:06:52 IST,29.90,68,33,4.4,"529km SSW of Kabul , Afghanistan"
1997-02-28 19:29:22 IST,29.90,68.30,33,3.5,"524km S of Kabul , Afghanistan"
1997-02-28 20:16:40 IST,29.40,68.30,33,3.5,"512km WNW of Bikaner, Rajasthan, India"
1997-02-28 20:44:58 IST,29.90,68.20,33,3.6,"526km S of Kabul , Afghanistan"
1997-02-28 20:47:25 IST,29.60,68.20,33,4.1,"528km WNW of Bikaner, Rajasthan, India"
